url,title,seendate,domain,language,sourcecountry
https://tribune.com.pk/story/2624413/govt-hikes-petrol-by-rs577-high-speed-diesel-by-647-for-aug-18,"Govt hikes petrol by Rs5 . 77 , high - speed diesel by 6 . 47 for Aug 18",20260817T193000Z,tribune.com.pk,English,Pakistan
https://tribune.com.pk/story/2624608/govt-hikes-petrol-by-rs334-high-speed-diesel-by-rs527-for-aug-19,"Govt hikes petrol by Rs3 . 34 , high - speed diesel by Rs5 . 27 for Aug 19",20260818T220000Z,tribune.com.pk,English,Pakistan
https://www.zawya.com/en/business/oil-gas/saudi-june-crude-exports-climb-from-record-may-low-data-shows-462678,"Saudi June crude exports climb from record May low , data shows",20260821T034500Z,zawya.com,English,United Arab Emirates
https://www.rappler.com/world/middle-east/iran-defiant-hormuz-strait-trump-high-gas-prices/,Iran defiant on strait as Trump tells Americans to accept high gas prices,20260815T063000Z,rappler.com,English,Philippines
http://www.econotimes.com/Strait-of-Hormuz-Shipping-Near-Standstill-After-New-Vessel-Attacks-1749551,Strait of Hormuz Shipping Near Standstill After New Vessel Attacks,20260814T211500Z,econotimes.com,English,United States
https://www.business-standard.com/india-news/india-s-crude-import-bill-rises-41-to-13-7-bn-in-july-on-oil-prices-126081801425_1.html,India crude import bill rises 41 % to $13 . 7 bn in July on oil prices,20260818T181500Z,business-standard.com,English,India
https://oilprice.com/Latest-Energy-News/World-News/Hormuz-Crisis-Pushes-Asian-Refiners-Toward-US-Oil.html,Hormuz Crisis Pushes Asian Refiners Toward U . S . Oil,20260814T133000Z,oilprice.com,English,United States
http://www.jpost.com/middle-east/iran-news/article-905955,Strait of Hormuz traffic slows amid blockade | The Jerusalem Post,20260819T073000Z,jpost.com,English,Israel
https://arynews.tv/hormuz-traffic-slows-as-uncertainty-over-waterway-persists,Hormuz traffic slows as uncertainty over waterway persists,20260819T071500Z,arynews.tv,English,Pakistan
https://www.rte.ie/news/2026/0819/1588442-middle-east/,UAE suspends Iran trade after ballistic missiles detected,20260819T063000Z,rte.ie,English,Ireland
https://tribune.com.pk/story/2624965/govt-increases-petrol-by-27-paisas-hsd-by-rs164-for-aug-21,"Govt increases petrol by 27 paisas , HSD by Rs1 . 64 for Aug 21",20260820T204500Z,tribune.com.pk,English,Pakistan
https://www.morningstar.com/news/dow-jones/202608148787/dow-jones-top-energy-headlines-at-4-pm-et-bp-xrg-partner-on-venezuelan-offshore-gas-development-as-oil-majors-tentatively-return-crude,"Dow Jones Top Energy Headlines at 4 PM ET : BP , XRG Partner on Venezuelan Offshore Gas Development as Oil Majors Tentatively Return | Crude ... ",20260814T204500Z,morningstar.com,English,China
https://intlxpatr.com/2026/08/17/the-strait-of-hormuz-15-august-2026/,"The Strait of Hormuz , 17 August 2026",20260817T194500Z,intlxpatr.com,English,
https://www.news24.com/world/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-fuel-prices-20260815-0896,Iran defiant on strait as Trump tells Americans to accept high fuel prices,20260815T170000Z,news24.com,English,South Africa
https://www.thestar.com.my/news/nation/2026/08/19/fuel-prices-aug-20-26-unsubsidised-petrol-diesel-prices-all-up-10-20sen,"Fuel prices Aug 20 - 26 : Unsubsidised petrol , diesel prices all up 10 - 20sen",20260819T140000Z,thestar.com.my,English,Malaysia
https://maritime-executive.com/editorials/will-chinese-oil-imports-rebound-after-the-iran-war,Will Chinese Oil Imports Rebound After the Iran War ? ,20260815T010000Z,maritime-executive.com,English,United States
https://www.cnbc.com/2026/08/19/diesel-price-california-ukraine-russia-iran-strait-hormuz.html,"Diesel in California hits $7 as wars in Europe , Middle East strain supply",20260819T183000Z,cnbc.com,English,United States
https://dunyanews.tv/en/Business/968614-oil-edges-up-on-uncertainty-over-exports-through-hormuz,Oil edges up on uncertainty over exports through Hormuz,20260819T041500Z,dunyanews.tv,English,Pakistan
https://www.straitstimes.com/business/oil-edges-up-on-uncertainty-over-exports-through-hormuz,Oil prices rise amid Strait of Hormuz export uncertainties,20260819T034500Z,straitstimes.com,English,Singapore
https://www.business-standard.com/markets/commodities/oil-prices-edge-higher-on-uncertainty-over-exports-through-hormuz-126081900086_1.html,Oil prices edge higher on uncertainty over exports through Hormuz,20260819T030000Z,business-standard.com,English,India
https://www.omanobserver.om/article/1194500/world/region/iran-defiant-on-hormuz-with-no-sign-of-peace-talks,Iran defiant on Hormuz with no sign of peace talks,20260815T161500Z,omanobserver.om,English,Oman
https://en.shafaqna.com/471451/oil-prices-rose/,Oil prices rose – Shafaqna English | International Shia News & Fatwas,20260817T050000Z,en.shafaqna.com,English,Saudi Arabia
https://www.morningstar.com/news/dow-jones/202608147067/the-week-in-oil-stalled-hormuz-talks-send-prices-higher,The Week in Oil : Stalled Hormuz Talks Send Prices Higher,20260814T170000Z,morningstar.com,English,China
https://www.bankingnews.gr/diethni/articles/894589/energy-nightmare-attacks-in-the-devil-s-triangle-will-send-oil-skyrocketing-to-110%20title=,Energy nightmare - Attacks in the devil triangle will send oil skyrocketing to $110,20260819T143000Z,bankingnews.gr,English,Greece
https://www.pakistantoday.com.pk/2026/08/18/saudi-aramco-resumes-some-oil-loadings-from-inside-strait-of-hormuz,Saudi Aramco resumes Hormuz oil loadings,20260818T170000Z,pakistantoday.com.pk,English,Pakistan
http://www.thejakartapost.com/business/2026/08/15/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-gas-prices,Iran defiant on strait as Trump tells Americans to accept high gas prices - Markets,20260815T091500Z,thejakartapost.com,English,Indonesia
https://www.straitstimes.com/world/middle-east/iran-defiant-on-strait-as-trump-tells-americans-to-accept-high-gas-prices,Iran defiant on strait as Trump tells Americans to accept high petrol prices,20260815T071500Z,straitstimes.com,English,Singapore
https://pajhwok.com/2026/08/17/hormuz-shipping-traffic-drops-sharply/,Hormuz shipping traffic drops sharply,20260817T050000Z,pajhwok.com,English,Afghanistan
https://www.marinelink.com/news/iran-tells-us-stop-indulging-fantasies-542138,Iran Tells US :  Stop Indulging In Fantasies  ,20260817T040000Z,marinelink.com,English,United States
https://www.canberratimes.com.au/story/9330863/iran-defiant-as-trump-tells-us-to-accept-dearer-petrol/,Iran defiant as Trump tells US to accept dearer petrol,20260815T074500Z,canberratimes.com.au,English,Australia
https://www.democracynow.org/2026/8/18/headlines/russian_oil_spills_from_grounded_tanker_fouling_beaches_in_oman,"Russian Oil Spills from Grounded Tanker , Fouling Beaches in Oman",20260818T163000Z,democracynow.org,English,United States
https://peakoil.com/production/hormuz-crisis-pushes-asian-refiners-toward-u-s-oil,Hormuz Crisis Pushes Asian Refiners Toward U . S . Oil  | Peak Oil News and Message Boards,20260814T203000Z,peakoil.com,English,United States
https://www.arabnews.com/node/2655050/business-economy,Oil climbs as fading US - Iran peace hopes raise supply risks,20260818T083000Z,arabnews.com,English,Saudi Arabia
http://baystreet.ca/articles/commodities/122914/Shipping-Through-Hormuz-Drops-Sharply-as-Tensions-Rise,Baystreet . ca - Shipping Through Hormuz Drops Sharply as Tensions Rise,20260814T173000Z,baystreet.ca,English,Canada
https://www.dailymirror.lk/breaking-news/Oil-climbs-as-fading-US-Iran-peace-hopes-raise-supply-risks/108-348296,Oil climbs as fading US - Iran peace hopes raise supply risks - Breaking News,20260818T064500Z,dailymirror.lk,English,Sri Lanka
https://www.asahi.com/ajw/articles/16811471,"Iran defiant on strait as Trump tells Americans to accept high gasoline prices | The Asahi Shimbun : Breaking News , Japan News and Analysis",20260817T030000Z,asahi.com,English,Japan
https://jowhar.com/iran-tells-u-s-to-admit-defeat-as-trump-calls-tehran-evil/,Iran Tells U . S . to Admit Defeat as Trump Calls Tehran  Evil  - Jowhar News Leader,20260815T184500Z,jowhar.com,English,Somalia
