date,event_count,avg_goldstein,avg_tone,total_mentions,total_sources,total_articles
2025-08-01,1,0.0,-3.7890044576523,2,1,2
2025-08-02,6,-1.6666666666666667,-2.4179382086124335,13,10,13
2025-08-03,30,-2.8,-5.561074024405682,2177,592,2177
2025-08-04,38,-1.3263157894736841,-3.5792751500040225,395,113,395
2025-08-06,1,3.4,-1.98702351987024,4,1,4
2025-08-07,5,-1.7000000000000004,0.3388552722944181,12,5,12
2025-08-08,11,0.03636363636363631,-5.0268782890408445,32,11,32
2025-08-09,7,-1.142857142857143,-2.9893427508828987,15,7,15
2025-08-10,28,3.867857142857143,-4.027324489199942,104,30,104
2025-08-11,15,-5.586666666666667,-1.9551511185465287,32,15,32
2025-08-12,11,-2.3545454545454545,-3.0352007293887397,57,11,57
2025-08-13,2,0.4,-0.9649282979422584,16,8,16
2025-08-14,3,-2.8666666666666667,-1.2014383621927138,44,16,44
2025-08-15,13,2.6769230769230767,-3.0157575058306643,114,46,114
2025-08-16,4,1.7000000000000002,-2.6595744680851,10,4,10
2025-08-17,2,0.0,-1.94610778443114,4,2,4
2025-08-18,13,-2.0461538461538464,-1.170204239257943,48,13,48
2025-08-19,14,-2.5714285714285716,-1.5158620769593416,32,14,32
2025-08-20,22,0.95,-5.7456801610578925,96,34,96
2026-07-02,17,-5.011764705882353,-4.767689604428064,144,63,144
2026-07-03,26,-5.369230769230769,-2.761557134670718,190,68,190
2026-07-04,40,-5.67,-3.4796175647321315,183,50,183
2026-07-05,26,-2.603846153846154,-2.73059377323619,98,29,98
2026-07-06,5,1.16,-3.0329030193360937,46,21,46
2026-07-07,6,0.0,-4.55042794436744,56,14,56
2026-07-08,14,-1.5857142857142859,-4.951605937649018,56,15,56
2026-07-09,21,0.05238095238095236,-4.442032228908748,192,139,192
2026-07-10,17,-3.1,-4.054631270519093,76,26,76
2026-07-11,10,-2.35,-3.848519741103396,29,11,29
2026-07-12,101,-3.2217821782178215,-2.4005563981907883,986,265,986
2026-07-13,86,-1.6953488372093024,-2.328552479326557,276,93,276
2026-07-14,34,-2.611764705882353,-2.438362520106452,188,102,188
2026-07-15,16,3.43125,-4.47332350598632,185,79,185
2026-07-16,16,-6.375,-3.0361049718278155,222,77,222
2026-07-17,12,-3.8000000000000003,-10.018172024560224,72,42,72
2026-07-18,17,-3.235294117647059,-4.01437264801455,288,63,288
2026-07-19,34,-0.5941176470588235,-1.2558752063729492,201,62,201
2026-07-20,56,-2.5142857142857147,-5.117215264315338,351,136,351
2026-07-21,26,-2.1423076923076922,-4.815874135646461,1496,87,1496
2026-07-25,6,-5.8999999999999995,-5.440852817462162,36,8,36
2026-07-26,23,0.7999999999999999,-4.860298536653827,82,42,82
2026-07-27,24,-1.0625,-3.608487702254664,876,119,876
2026-07-28,14,-2.557142857142857,-4.896857615721904,362,90,362
2026-07-29,27,-0.8740740740740741,-4.070243905504984,115,64,115
2026-07-30,44,-3.8,-5.801450880894012,272,87,272
2026-07-31,56,0.9714285714285714,-4.666003395632537,599,239,599
2026-08-01,2453,-1.8520994700366897,-4.253745268323763,29233,6964,28574
2026-08-02,3288,-0.3885644768856448,-3.502126661720476,41016,11676,40560
2026-08-03,3575,0.7871048951048951,-2.7165126260362653,47773,11015,46972
2026-08-04,3379,0.5967445989937852,-2.8804294347765174,53956,13865,52735
2026-08-05,2943,0.4434930343187224,-2.941708025113549,36236,10555,35874
2026-08-06,2969,0.25836982148871673,-3.2291615200908454,38793,9729,38451
2026-08-07,2734,0.07421360643745427,-3.043647801583744,35298,8104,34854
2026-08-08,2006,-0.10159521435692921,-3.0027442889707716,29507,6024,29368
2026-08-09,2018,0.10530227948463824,-3.083024316556833,24784,5501,24360
2026-08-10,2534,-0.07056037884767168,-3.0304330860710706,39663,9521,38521
2026-08-11,3111,-0.20234651237544202,-2.963020014415859,38450,10185,37848
2026-08-12,3381,-0.013161786453711941,-3.289730566585913,39614,8847,38213
2026-08-13,2199,-0.6687585266030014,-3.660806724959496,21066,4715,20862
2026-08-14,2442,0.052702702702702685,-3.0598159779102914,21963,5355,21661
2026-08-15,1952,-0.5468237704918033,-3.874259573723376,25902,6015,25423
2026-08-16,2142,0.02418300653594769,-3.5269592829233716,21337,5949,20950
2026-08-17,3941,0.40474498858157826,-3.4805735270096947,42840,11245,42236
2026-08-18,3531,-0.009515717926932895,-3.489343650304895,43762,11361,43081
2026-08-19,3169,-0.2814768065635847,-3.6376676235879546,34954,8065,34112
2026-08-20,2966,-0.07164531355360756,-3.9364468272165207,45387,9176,44952
