GLOBALEVENTID,SQLDATE,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,SOURCEURL
1319058348,20260820,,,IRN,IRN,30,30,3,1,4.0,2,1,2,-2.8169014084507,http://www.jpost.com/middle-east/iran-news/article-906049
1319058349,20260820,,,IRN,IRN,36,36,3,1,4.0,284,28,284,-3.44775731889728,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319058350,20260820,,,IRN,IRN,46,46,4,1,7.0,20,2,20,-3.50109409190372,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059317,20260820,GOV,,IRN,IRN,15,15,1,1,0.0,36,9,36,-4.54106280193237,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059318,20260820,GOV,,IRN,IRN,42,42,4,1,1.9,52,26,52,-3.50109409190372,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059319,20260820,GOV,,IRN,IRN,42,42,4,1,1.9,208,26,208,-3.50109409190372,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059320,20260820,GOV,,IRN,IRN,46,46,4,1,7.0,282,29,282,-3.48970788455089,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059321,20260820,GOV,,IRN,IRN,50,50,5,1,3.5,276,28,276,-3.30574726483553,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059322,20260820,GOV,,IRN,IRN,71,71,7,2,7.4,8,1,8,-3.76712328767124,https://www.durangoherald.com/articles/associated-press/the-us-national-debt-now-stands-at-40-trillion/
1319059323,20260820,GOV,,IRN,IRN,71,71,7,2,7.4,416,59,416,-4.15064294025627,https://www.orlandosentinel.com/2026/08/19/us-national-debt-record/
1319059324,20260820,GOV,,IRN,IRN,163,163,16,4,-8.0,12,3,12,-5.35254738306382,https://en.apa.az/america/trump-leaves-open-possibility-of-further-sanctions-on-iran-520948
1319059325,20260820,GOV,,IRN,IRN,163,163,16,4,-8.0,10,3,10,-5.35254738306382,https://en.apa.az/america/trump-leaves-open-possibility-of-further-sanctions-on-iran-520948
1319059326,20260820,GOV,,IRNGOV,IRN,71,71,7,2,7.4,2,1,2,-3.76712328767124,https://www.durangoherald.com/articles/associated-press/the-us-national-debt-now-stands-at-40-trillion/
1319059327,20260820,GOV,,IRNGOV,IRN,71,71,7,2,7.4,89,49,89,-4.1921984692964,https://www.orlandosentinel.com/2026/08/19/us-national-debt-record/
1319059328,20260820,GOV,,IRNGOV,IRN,110,110,11,3,-2.0,6,1,6,-2.8169014084507,http://www.jpost.com/middle-east/iran-news/article-906049
1319059431,20260820,IRN,IRN,,,10,10,1,1,0.0,13,11,13,-4.87312959617141,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059432,20260820,IRN,IRN,,,10,10,1,1,0.0,633,27,594,-9.35913770940468,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059433,20260820,IRN,IRN,,,12,12,1,1,-0.4,56,10,56,-8.45509453556472,https://en.apa.az/asia/iran-announces-near-total-halt-in-oil-supplies-to-foreign-markets-520956
1319059434,20260820,IRN,IRN,,,20,20,2,1,3.0,353,43,353,-4.33636236186606,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059435,20260820,IRN,IRN,,,30,30,3,1,4.0,19,4,19,-1.93775534991898,https://en.apa.az/asia/iran-announces-near-total-halt-in-oil-supplies-to-foreign-markets-520956
1319059436,20260820,IRN,IRN,,,46,46,4,1,7.0,621,40,621,-3.29135429657642,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059437,20260820,IRN,IRN,,,90,90,9,2,-2.0,18,9,18,-4.54106280193237,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059438,20260820,IRN,IRN,,,90,90,9,2,-2.0,82,10,82,-4.33549453343504,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059439,20260820,IRN,IRN,,,100,100,10,3,-5.0,260,26,260,-3.50109409190372,https://www.kztv10.com/us-news/iran-war/as-hormuz-blockade-continues-trump-appears-ready-to-wait-for-iran-to-show-interest-in-a-deal
1319059440,20260820,IRN,IRN,,,172,172,17,4,-5.0,18,9,18,-4.54106280193237,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
1319059441,20260820,IRN,IRN,,,172,172,17,4,-5.0,76,10,76,-4.43989769820972,https://www.wmtw.com/article/enriched-uranium-stockpile-trump-iran-essential-denuclearization/73478931
